	RepresentativeContig	Contig	EdgeType	RepresentativeLength	ContigLength	qstart	qend	sstart	send	Cluster_ID
21	SRR12664575.12.1_segment0_np1212	SRR12664619.64529.1	s in q	1612	589	444	1024	2	582	3
22	SRR12664575.14.1_segment0_np1212	SRR12664619.25859.1	s in q	15243	301	1109	1394	8	292	3
23	SRR12664575.14.1_segment0_np1212	SRR12664619.63839.1	s in q	15243	372	11655	11997	3	345	3
24	SRR12664575.15.1_segment0_np1212	SRR12664619.37232.1	s in q	10224	339	6507	6830	8	332	4
25	SRR12664575.15.1_segment0_np1212	SRR12664619.50770.1	s in q	10224	408	968	1365	2	399	4
26	SRR12664575.16.1_segment0_np1212	SRR12664619.56991.1	s in q	11098	408	3812	4204	8	400	5
27	SRR12664575.16.1_segment0_np1212	SRR12664619.70709.1	s in q	11098	470	6743	7201	8	466	5
28	SRR12664575.17.1_segment0_np1212	SRR12664619.15041.1	s in q	33455	379	24436	24810	1	374	6
29	SRR12664575.17.1_segment0_np1212	SRR12664619.56246.1	s in q	33455	1077	17706	18772	6	1072	6
30	SRR12664575.17.1_segment0_np1212	SRR12664619.70205.1	s in q	33455	352	5291	5637	2	347	6
31	SRR12664575.17.1_segment0_np1212	SRR12664619.75217.1	s in q	33455	405	27018	27406	16	405	6
32	SRR12664575.18.1_segment0_np1212	SRR12664619.1243.1	s in q	24598	416	15903	16312	3	414	7
33	SRR12664575.18.1_segment0_np1212	SRR12664619.12440.1	s in q	24598	496	12051	12519	10	478	7
34	SRR12664575.18.1_segment0_np1212	SRR12664619.36863.1	s in q	24598	461	19473	19927	7	460	7
35	SRR12664575.18.1_segment0_np1212	SRR12664619.41186.1	s in q	24598	691	4794	5464	5	675	7
36	SRR12664575.18.1_segment0_np1212	SRR12664619.41830.1	s in q	24598	651	19994	20603	6	616	7
37	SRR12664575.18.1_segment0_np1212	SRR12664619.55459.1	s in q	24598	528	18764	19288	6	522	7
38	SRR12664575.18.1_segment0_np1212	SRR12664619.60638.1	s in q	24598	497	12522	13013	7	497	7
39	SRR12664575.18.1_segment0_np1212	SRR12664619.62375.1	s in q	24598	334	18449	18769	2	320	7
40	SRR12664575.18.1_segment0_np1212	SRR12664619.70307.1	s in q	24598	383	21587	21961	8	382	7
41	SRR12664575.18.1_segment0_np1212	SRR12664619.87725.1	s in q	24598	1016	5454	6466	0	1012	7
42	SRR12664575.19.1_segment0_np1212	SRR12664619.17966.1	s in q	18488	364	13165	13519	3	354	8
43	SRR12664575.2.1_segment0_np1212	SRR12664619.65385.1	s in q	4554	1268	1234	2494	3	1266	8
44	SRR12664575.20.1_segment0_np1212	SRR12664619.20738.1	s in q	36275	375	22539	22907	7	374	8
45	SRR12664575.20.1_segment0_np1212	SRR12664619.22272.1	s in q	36275	432	18555	18967	16	428	8
46	SRR12664575.20.1_segment0_np1212	SRR12664619.23915.1	s in q	36275	621	7043	7639	7	602	8
47	SRR12664575.20.1_segment0_np1212	SRR12664619.30695.1	s in q	36275	763	16187	16933	9	755	8
48	SRR12664575.20.1_segment0_np1212	SRR12664619.32432.1	s in q	36275	412	17820	18228	0	408	8
49	SRR12664575.20.1_segment0_np1212	SRR12664619.38723.1	s in q	36275	915	33359	34235	39	913	8
50	SRR12664575.20.1_segment0_np1212	SRR12664619.44481.1	s in q	36275	679	28335	29004	1	669	8
51	SRR12664575.20.1_segment0_np1212	SRR12664619.5148.1	s in q	36275	379	27639	28010	6	378	8
52	SRR12664575.20.1_segment0_np1212	SRR12664619.63678.1	s in q	36275	1131	26121	27197	1	1073	8
53	SRR12664575.20.1_segment0_np1212	SRR12664619.8206.1	s in q	36275	1373	31948	33297	25	1372	8
54	SRR12664575.20.1_segment0_np1212	SRR12664619.9370.1	s in q	36275	377	22219	22576	11	368	8
55	SRR12664575.20.1_segment0_np1212	SRR12664619.96939.1	s in q	36275	839	6243	7074	1	830	8
56	SRR12664575.21.1_segment0_np1212	SRR12664619.33744.1	s in q	7320	903	5582	6472	4	895	9
57	SRR12664575.21.1_segment0_np1212	SRR12664619.3438.1	s in q	7320	337	2498	2814	19	335	9
58	SRR12664575.21.1_segment0_np1212	SRR12664619.35856.1	s in q	7320	666	6422	7086	0	664	9
59	SRR12664575.21.1_segment0_np1212	SRR12664619.43852.1	s in q	7320	1483	2824	4302	3	1480	9
60	SRR12664575.21.1_segment0_np1212	SRR12664619.64698.1	s in q	7320	429	5091	5511	3	421	9
61	SRR12664575.21.1_segment0_np1212	SRR12664619.76143.1	s in q	7320	1017	572	1577	7	1015	9
62	SRR12664575.21.1_segment0_np1212	SRR12664619.8431.1	q in s	7320	635	6	593	41	632	9
63	SRR12664575.21.1_segment0_np1212	SRR12664619.96208.1	s in q	7320	750	4374	5114	4	741	9
64	SRR12664575.22.1_segment0_np1212	SRR12664619.2096.1	s in q	10477	2536	3580	6092	25	2536	10
65	SRR12664575.24.1_segment0_np1212	SRR12664619.15539.1	s in q	31393	465	3444	3885	17	458	10
66	SRR12664575.24.1_segment0_np1212	SRR12664619.17573.1	s in q	31393	497	3870	4353	8	491	10
67	SRR12664575.24.1_segment0_np1212	SRR12664619.20514.1	s in q	31393	494	16552	17043	0	491	10
68	SRR12664575.24.1_segment0_np1212	SRR12664619.23635.1	s in q	31393	461	1235	1678	9	452	10
69	SRR12664575.24.1_segment0_np1212	SRR12664619.24098.1	s in q	31393	485	2670	3125	23	478	10
70	SRR12664575.24.1_segment0_np1212	SRR12664619.2714.1	s in q	31393	650	1686	2326	5	645	10
71	SRR12664575.24.1_segment0_np1212	SRR12664619.35757.1	s in q	31393	2321	16989	19281	28	2320	10
72	SRR12664575.24.1_segment0_np1212	SRR12664619.37503.1	s in q	31393	805	27278	28074	3	798	10
73	SRR12664575.24.1_segment0_np1212	SRR12664619.46282.1	s in q	31393	755	7346	8045	5	704	10
74	SRR12664575.24.1_segment0_np1212	SRR12664619.47169.1	s in q	31393	540	6893	7394	36	537	10
75	SRR12664575.24.1_segment0_np1212	SRR12664619.50238.1	s in q	31393	478	21661	22127	3	469	10
76	SRR12664575.24.1_segment0_np1212	SRR12664619.51808.1	s in q	31393	450	8352	8786	7	441	10
77	SRR12664575.24.1_segment0_np1212	SRR12664619.51835.1	s in q	31393	577	13250	13822	2	574	10
78	SRR12664575.24.1_segment0_np1212	SRR12664619.52150.1	s in q	31393	565	6478	7039	0	561	10
79	SRR12664575.24.1_segment0_np1212	SRR12664619.65444.1	s in q	31393	1065	9800	10861	4	1062	10
80	SRR12664575.24.1_segment0_np1212	SRR12664619.66950.1	s in q	31393	1049	5355	6387	8	1040	10
81	SRR12664575.24.1_segment0_np1212	SRR12664619.76904.1	s in q	31393	626	4596	5217	1	623	10
82	SRR12664575.24.1_segment0_np1212	SRR12664619.79500.1	s in q	31393	343	3088	3418	5	335	10
83	SRR12664575.24.1_segment0_np1212	SRR12664619.82357.1	s in q	31393	1673	11061	12714	16	1668	10
84	SRR12664575.24.1_segment0_np1212	SRR12664619.89157.1	s in q	31393	1115	15442	16550	1	1111	10
85	SRR12664575.25.1_segment0_np1212	SRR12664619.12555.1	s in q	19573	305	10704	10991	9	296	11
86	SRR12664575.25.1_segment0_np1212	SRR12664619.63241.1	s in q	19573	307	17609	17887	21	299	11
87	SRR12664575.25.1_segment0_np1212	SRR12664619.68487.1	s in q	19573	383	8241	8613	10	381	11
88	SRR12664575.26.1_segment0_np1212	SRR12664619.64280.1	s in q	37075	658	8763	9406	6	646	12
89	SRR12664575.27.1_segment0_np1212	SRR12664619.55097.1	s in q	17436	400	10770	11160	6	397	12
90	SRR12664575.27.1_segment0_np1212	SRR12664619.9005.1	s in q	17436	319	11223	11526	9	313	12
91	SRR12664575.28.1_segment0_np1212	SRR12664619.12367.1	s in q	57919	531	8645	9170	2	527	13
92	SRR12664575.28.1_segment0_np1212	SRR12664619.16135.1	s in q	57919	667	48354	48986	8	640	13
93	SRR12664575.28.1_segment0_np1212	SRR12664619.16612.1	s in q	57919	2786	13723	16385	120	2782	13
94	SRR12664575.28.1_segment0_np1212	SRR12664619.2412.1	s in q	57919	351	9739	10073	0	334	13
95	SRR12664575.28.1_segment0_np1212	SRR12664619.26057.1	s in q	57919	572	54767	55331	3	567	13
96	SRR12664575.28.1_segment0_np1212	SRR12664619.30405.1	s in q	57919	498	55411	55893	2	484	13
97	SRR12664575.28.1_segment0_np1212	SRR12664619.38938.1	s in q	57919	869	25298	26156	8	866	13
98	SRR12664575.28.1_segment0_np1212	SRR12664619.45014.1	s in q	57919	591	49438	50003	7	572	13
99	SRR12664575.28.1_segment0_np1212	SRR12664619.47666.1	s in q	57919	408	8002	8381	5	383	13
100	SRR12664575.28.1_segment0_np1212	SRR12664619.48814.1	s in q	57919	571	10299	10867	4	571	13
101	SRR12664575.28.1_segment0_np1212	SRR12664619.50077.1	s in q	57919	494	55825	56306	7	488	13
102	SRR12664575.28.1_segment0_np1212	SRR12664619.51013.1	s in q	57919	329	13447	13769	6	328	13
103	SRR12664575.28.1_segment0_np1212	SRR12664619.53202.1	s in q	57919	951	42533	43475	0	942	13
104	SRR12664575.28.1_segment0_np1212	SRR12664619.56808.1	s in q	57919	446	27195	27630	5	440	13
105	SRR12664575.28.1_segment0_np1212	SRR12664619.62764.1	s in q	57919	325	4634	4958	0	323	13
106	SRR12664575.28.1_segment0_np1212	SRR12664619.71193.1	s in q	57919	393	46019	46394	9	384	13
107	SRR12664575.28.1_segment0_np1212	SRR12664619.73886.1	s in q	57919	384	56492	56861	9	378	13
108	SRR12664575.28.1_segment0_np1212	SRR12664619.76052.1	s in q	57919	405	5077	5459	6	388	13
109	SRR12664575.28.1_segment0_np1212	SRR12664619.76809.1	s in q	57919	388	6855	7236	7	388	13
110	SRR12664575.28.1_segment0_np1212	SRR12664619.79927.1	s in q	57919	331	26764	27071	10	317	13
111	SRR12664575.28.1_segment0_np1212	SRR12664619.8438.1	s in q	57919	338	3488	3798	3	313	13
112	SRR12664575.28.1_segment0_np1212	SRR12664619.85579.1	s in q	57919	466	43574	44030	6	461	13
113	SRR12664575.28.1_segment0_np1212	SRR12664619.85736.1	s in q	57919	1030	16343	17375	2	1029	13
114	SRR12664575.28.1_segment0_np1212	SRR12664619.86289.1	s in q	57919	555	48954	49490	17	554	13
115	SRR12664575.28.1_segment0_np1212	SRR12664619.87948.1	s in q	57919	314	57462	57765	8	311	13
116	SRR12664575.28.1_segment0_np1212	SRR12664619.91769.1	s in q	57919	418	26207	26615	7	415	13
117	SRR12664575.28.1_segment0_np1212	SRR12664619.9212.1	s in q	57919	636	33839	34458	0	619	13
118	SRR12664575.28.1_segment0_np1212	SRR12664619.95160.1	s in q	57919	324	51927	52242	8	323	13
119	SRR12664575.29.1_segment0_np1212	SRR12664619.70781.1	s in q	11706	498	1771	2250	2	481	14
120	SRR12664575.3.1_segment0_np1212	SRR12664619.24664.1	s in q	16470	467	13197	13650	7	460	14
121	SRR12664575.3.1_segment0_np1212	SRR12664619.479.1	s in q	16470	1355	8380	9724	1	1346	14
122	SRR12664575.3.1_segment0_np1212	SRR12664619.65146.1	s in q	16470	394	9664	10053	1	389	14
123	SRR12664575.30.1_segment0_np1212	SRR12664619.10484.1	s in q	26020	342	12943	13280	0	338	15
124	SRR12664575.30.1_segment0_np1212	SRR12664619.64560.1	s in q	26020	338	20389	20716	9	336	15
125	SRR12664575.33.1_segment0_np1212	SRR12664619.11896.1	s in q	28292	501	18696	19172	21	493	16
126	SRR12664575.33.1_segment0_np1212	SRR12664619.12429.1	s in q	28292	351	19124	19464	7	347	16
127	SRR12664575.33.1_segment0_np1212	SRR12664619.27143.1	s in q	28292	659	21523	22184	3	658	16
128	SRR12664575.33.1_segment0_np1212	SRR12664619.27806.1	s in q	28292	757	20753	21496	4	749	16
129	SRR12664575.33.1_segment0_np1212	SRR12664619.5593.1	s in q	28292	427	7135	7548	6	419	16
130	SRR12664575.33.1_segment0_np1212	SRR12664619.60246.1	s in q	28292	950	23563	24506	3	944	16
131	SRR12664575.33.1_segment0_np1212	SRR12664619.9251.1	s in q	28292	798	12341	13134	2	795	16
132	SRR12664575.35.1_segment0_np1212	SRR12664619.18972.1	s in q	33878	299	20838	21110	9	279	17
133	SRR12664575.35.1_segment0_np1212	SRR12664619.4717.1	s in q	33878	455	727	1173	5	450	17
134	SRR12664575.36.1_segment0_np1212	SRR12664619.21196.1	s in q	21949	612	11733	12338	0	605	18
135	SRR12664575.36.1_segment0_np1212	SRR12664619.3048.1	s in q	21949	668	20156	20815	0	660	18
136	SRR12664575.36.1_segment0_np1212	SRR12664619.61503.1	s in q	21949	380	4363	4718	18	373	18
137	SRR12664575.36.1_segment0_np1212	SRR12664619.69.1	s in q	21949	347	2550	2889	4	344	18
138	SRR12664575.36.1_segment0_np1212	SRR12664619.71693.1	s in q	21949	529	13242	13742	25	525	18
139	SRR12664575.36.1_segment0_np1212	SRR12664619.75946.1	s in q	21949	373	10900	11270	1	369	18
140	SRR12664575.37.1_segment0_np1212	SRR12664619.97591.1	s in q	13986	401	11542	11939	0	397	19
141	SRR12664575.38.1_segment0_np1212	SRR12664619.44397.1	s in q	28357	508	15261	15764	2	506	19
142	SRR12664575.38.1_segment0_np1212	SRR12664619.623.1	s in q	28357	347	7816	8158	5	347	19
143	SRR12664575.38.1_segment0_np1212	SRR12664619.62561.1	s in q	28357	611	1781	2386	5	611	19
144	SRR12664575.38.1_segment0_np1212	SRR12664619.81771.1	s in q	28357	732	1093	1757	5	669	19
145	SRR12664575.4.1_segment0_np1212	SRR12664619.3426.1	s in q	7813	441	6683	7114	8	439	20
146	SRR12664575.4.1_segment0_np1212	SRR12664619.34472.1	s in q	7813	462	5354	5807	4	457	20
147	SRR12664575.4.1_segment0_np1212	SRR12664619.87145.1	s in q	7813	419	6346	6761	0	415	20
148	SRR12664575.4.1_segment0_np1212	SRR12664619.98.1	s in q	7813	404	3363	3741	3	381	20
149	SRR12664575.40.1_segment0_np1212	SRR12664619.10685.1	s in q	14741	516	5893	6392	8	509	21
150	SRR12664575.40.1_segment0_np1212	SRR12664619.25389.1	s in q	14741	354	9112	9437	16	339	21
151	SRR12664575.40.1_segment0_np1212	SRR12664619.30578.1	s in q	14741	1043	4463	5437	1	975	21
152	SRR12664575.40.1_segment0_np1212	SRR12664619.50877.1	s in q	14741	366	2579	2929	0	351	21
153	SRR12664575.40.1_segment0_np1212	SRR12664619.67369.1	s in q	14741	608	6764	7358	8	603	21
154	SRR12664575.40.1_segment0_np1212	SRR12664619.87990.1	s in q	14741	417	3700	4098	6	404	21
155	SRR12664575.40.1_segment0_np1212	SRR12664619.9330.1	s in q	14741	361	12174	12522	9	355	21
156	SRR12664575.40.1_segment0_np1212	SRR12664619.96001.1	s in q	14741	298	9450	9743	4	296	21
157	SRR12664575.40.1_segment0_np1212	SRR12664619.96987.1	s in q	14741	556	3149	3693	9	551	21
158	SRR12664575.43.1_segment0_np1212	SRR12664619.20544.1	s in q	20829	1155	7455	8602	4	1151	22
159	SRR12664575.43.1_segment0_np1212	SRR12664619.57968.1	s in q	20829	368	10164	10514	9	359	22
160	SRR12664575.44.1_segment0_np1212	SRR12664619.11411.1	s in q	18780	306	12391	12686	5	300	23
161	SRR12664575.44.1_segment0_np1212	SRR12664619.13389.1	s in q	18780	983	8634	9564	49	979	23
162	SRR12664575.44.1_segment0_np1212	SRR12664619.17435.1	s in q	18780	675	4941	5599	9	667	23
163	SRR12664575.44.1_segment0_np1212	SRR12664619.26488.1	s in q	18780	327	4652	4956	4	308	23
164	SRR12664575.44.1_segment0_np1212	SRR12664619.31683.1	s in q	18780	326	135	443	9	317	23
165	SRR12664575.44.1_segment0_np1212	SRR12664619.33969.1	s in q	18780	413	17505	17907	5	407	23
166	SRR12664575.44.1_segment0_np1212	SRR12664619.46629.1	s in q	18780	1295	6178	7465	2	1288	23
167	SRR12664575.44.1_segment0_np1212	SRR12664619.75707.1	s in q	18780	1882	9901	11768	4	1872	23
168	SRR12664575.44.1_segment0_np1212	SRR12664619.92889.1	s in q	18780	407	17013	17405	7	394	23
169	SRR12664575.44.1_segment0_np1212	SRR12664619.93143.1	s in q	18780	340	16079	16417	1	339	23
170	SRR12664575.44.1_segment0_np1212	SRR12664619.97250.1	s in q	18780	1086	14946	16023	3	1080	23
171	SRR12664575.46.1_segment0_np1212	SRR12664619.13809.1	s in q	36762	1881	7589	9459	6	1863	24
172	SRR12664575.46.1_segment0_np1212	SRR12664619.19302.1	s in q	36762	945	27452	28387	8	943	24
173	SRR12664575.46.1_segment0_np1212	SRR12664619.21327.1	s in q	36762	1223	14807	16025	2	1217	24
174	SRR12664575.46.1_segment0_np1212	SRR12664619.24650.1	s in q	36762	694	26717	27398	6	688	24
175	SRR12664575.46.1_segment0_np1212	SRR12664619.36136.1	s in q	36762	351	18759	19104	1	346	24
176	SRR12664575.46.1_segment0_np1212	SRR12664619.37383.1	s in q	36762	1927	10502	12423	8	1923	24
177	SRR12664575.46.1_segment0_np1212	SRR12664619.40132.1	s in q	36762	1019	34875	35885	1	1012	24
178	SRR12664575.46.1_segment0_np1212	SRR12664619.44531.1	s in q	36762	385	30862	31239	9	385	24
179	SRR12664575.46.1_segment0_np1212	SRR12664619.48762.1	s in q	36762	305	25852	26152	4	302	24
180	SRR12664575.46.1_segment0_np1212	SRR12664619.56222.1	s in q	36762	713	26106	26808	6	709	24
181	SRR12664575.46.1_segment0_np1212	SRR12664619.58829.1	s in q	36762	729	35917	36623	7	717	24
182	SRR12664575.46.1_segment0_np1212	SRR12664619.64140.1	s in q	36762	382	24892	25262	6	376	24
183	SRR12664575.46.1_segment0_np1212	SRR12664619.68150.1	s in q	36762	1013	9404	10386	7	990	24
184	SRR12664575.46.1_segment0_np1212	SRR12664619.68323.1	s in q	36762	347	3575	3891	22	340	24
185	SRR12664575.46.1_segment0_np1212	SRR12664619.77069.1	s in q	36762	721	12401	13090	4	694	24
186	SRR12664575.46.1_segment0_np1212	SRR12664619.77833.1	s in q	36762	623	13184	13786	7	610	24
187	SRR12664575.46.1_segment0_np1212	SRR12664619.81760.1	s in q	36762	1682	19137	20820	2	1679	24
188	SRR12664575.46.1_segment0_np1212	SRR12664619.87960.1	s in q	36762	491	7163	7645	2	484	24
189	SRR12664575.46.1_segment0_np1212	SRR12664619.88621.1	s in q	36762	1518	23445	24946	6	1508	24
190	SRR12664575.46.1_segment0_np1212	SRR12664619.91421.1	s in q	36762	493	32301	32782	5	487	24
191	SRR12664575.46.1_segment0_np1212	SRR12664619.94715.1	s in q	36762	618	20887	21474	9	597	24
192	SRR12664575.47.1_segment0_np1212	SRR12664619.13430.1	s in q	47578	387	24606	24972	6	372	25
193	SRR12664575.47.1_segment0_np1212	SRR12664619.16852.1	s in q	47578	399	752	1145	4	397	25
194	SRR12664575.47.1_segment0_np1212	SRR12664619.17375.1	s in q	47578	418	26782	27187	8	413	25
195	SRR12664575.47.1_segment0_np1212	SRR12664619.3854.1	s in q	47578	358	2678	3016	4	342	25
196	SRR12664575.47.1_segment0_np1212	SRR12664619.61629.1	s in q	47578	829	1206	2027	0	820	25
197	SRR12664575.47.1_segment0_np1212	SRR12664619.63278.1	s in q	47578	877	27242	28106	9	873	25
198	SRR12664575.47.1_segment0_np1212	SRR12664619.7260.1	s in q	47578	296	28490	28765	9	285	25
199	SRR12664575.47.1_segment0_np1212	SRR12664619.75879.1	s in q	47578	420	26463	26870	6	412	25
200	SRR12664575.47.1_segment0_np1212	SRR12664619.78027.1	s in q	47578	436	10071	10494	6	428	25
201	SRR12664575.48.1_segment0_np1212	SRR12664619.11403.1	s in q	57499	680	42909	43575	11	677	26
202	SRR12664575.48.1_segment0_np1212	SRR12664619.18205.1	s in q	57499	445	10430	10863	7	440	26
203	SRR12664575.48.1_segment0_np1212	SRR12664619.18512.1	s in q	57499	1376	40853	42209	18	1374	26
204	SRR12664575.48.1_segment0_np1212	SRR12664619.2586.1	s in q	57499	403	23570	23960	9	398	26
205	SRR12664575.48.1_segment0_np1212	SRR12664619.26908.1	s in q	57499	815	20282	21083	5	807	26
206	SRR12664575.48.1_segment0_np1212	SRR12664619.28408.1	s in q	57499	405	40539	40935	1	397	26
207	SRR12664575.48.1_segment0_np1212	SRR12664619.2961.1	s in q	57499	413	3340	3741	5	406	26
208	SRR12664575.48.1_segment0_np1212	SRR12664619.29912.1	s in q	57499	410	15917	16318	4	405	26
209	SRR12664575.48.1_segment0_np1212	SRR12664619.32641.1	s in q	57499	633	42341	42960	6	625	26
210	SRR12664575.48.1_segment0_np1212	SRR12664619.36255.1	s in q	57499	1034	7865	8845	2	981	26
211	SRR12664575.48.1_segment0_np1212	SRR12664619.36583.1	s in q	57499	376	9857	10221	2	366	26
212	SRR12664575.48.1_segment0_np1212	SRR12664619.36627.1	s in q	57499	411	22087	22485	4	402	26
213	SRR12664575.48.1_segment0_np1212	SRR12664619.37665.1	s in q	57499	399	9260	9657	2	399	26
214	SRR12664575.48.1_segment0_np1212	SRR12664619.37882.1	s in q	57499	350	24261	24594	7	340	26
215	SRR12664575.48.1_segment0_np1212	SRR12664619.42021.1	s in q	57499	1771	14204	15965	2	1763	26
216	SRR12664575.48.1_segment0_np1212	SRR12664619.4549.1	s in q	57499	385	1786	2159	3	376	26
217	SRR12664575.48.1_segment0_np1212	SRR12664619.45707.1	s in q	57499	394	23919	24310	3	394	26
218	SRR12664575.48.1_segment0_np1212	SRR12664619.5142.1	s in q	57499	918	54966	55809	72	915	26
219	SRR12664575.48.1_segment0_np1212	SRR12664619.53644.1	s in q	57499	373	37225	37592	6	373	26
220	SRR12664575.48.1_segment0_np1212	SRR12664619.55360.1	s in q	57499	633	17254	17876	5	628	26
221	SRR12664575.48.1_segment0_np1212	SRR12664619.56831.1	s in q	57499	1446	11482	12911	8	1438	26
222	SRR12664575.48.1_segment0_np1212	SRR12664619.576.1	s in q	57499	499	56727	57218	7	498	26
223	SRR12664575.48.1_segment0_np1212	SRR12664619.57687.1	s in q	57499	306	13860	14152	12	304	26
224	SRR12664575.48.1_segment0_np1212	SRR12664619.60888.1	s in q	57499	1456	17873	19319	0	1447	26
225	SRR12664575.48.1_segment0_np1212	SRR12664619.62788.1	s in q	57499	1082	27012	28082	2	1073	26
226	SRR12664575.48.1_segment0_np1212	SRR12664619.63046.1	s in q	57499	1127	28019	29118	22	1121	26
227	SRR12664575.48.1_segment0_np1212	SRR12664619.64398.1	s in q	57499	1013	12947	13945	7	1006	26
228	SRR12664575.48.1_segment0_np1212	SRR12664619.66334.1	s in q	57499	729	2606	3326	8	728	26
229	SRR12664575.48.1_segment0_np1212	SRR12664619.71033.1	s in q	57499	2076	30550	32620	0	2068	26
230	SRR12664575.48.1_segment0_np1212	SRR12664619.73360.1	s in q	57499	554	36437	36983	4	550	26
231	SRR12664575.48.1_segment0_np1212	SRR12664619.74771.1	s in q	57499	392	21233	21614	2	383	26
232	SRR12664575.48.1_segment0_np1212	SRR12664619.7863.1	s in q	57499	606	52410	53004	7	601	26
233	SRR12664575.48.1_segment0_np1212	SRR12664619.80890.1	s in q	57499	2269	33378	35648	0	2268	26
234	SRR12664575.48.1_segment0_np1212	SRR12664619.81011.1	s in q	57499	502	43892	44389	4	501	26
235	SRR12664575.48.1_segment0_np1212	SRR12664619.84831.1	s in q	57499	332	38837	39164	0	328	26
236	SRR12664575.48.1_segment0_np1212	SRR12664619.93661.1	s in q	57499	490	7447	7936	0	490	26
237	SRR12664575.48.1_segment0_np1212	SRR12664619.95521.1	s in q	57499	729	19349	20078	0	729	26
238	SRR12664575.48.1_segment0_np1212	SRR12664619.95862.1	s in q	57499	641	47357	47994	4	641	26
239	SRR12664575.58.1_segment0_np1212	SRR12664619.18159.1	s in q	22627	536	18539	19062	6	529	27
240	SRR12664575.58.1_segment0_np1212	SRR12664619.18246.1	s in q	22627	401	12535	12918	1	384	27
241	SRR12664575.58.1_segment0_np1212	SRR12664619.28319.1	s in q	22627	1110	13181	14287	4	1110	27
242	SRR12664575.58.1_segment0_np1212	SRR12664619.3315.1	s in q	22627	560	15073	15625	2	554	27
243	SRR12664575.58.1_segment0_np1212	SRR12664619.46830.1	s in q	22627	970	17597	18557	3	963	27
244	SRR12664575.58.1_segment0_np1212	SRR12664619.87095.1	s in q	22627	421	20831	21241	3	413	27
245	SRR12664575.58.1_segment0_np1212	SRR12664619.9465.1	s in q	22627	556	14500	15051	3	554	27
246	SRR12664575.58.1_segment0_np1212	SRR12664619.95934.1	s in q	22627	297	20251	20540	3	292	27
247	SRR12664575.49.1_segment0_np1212	SRR12664619.42877.1	s in q	23776	314	21043	21347	6	310	28
248	SRR12664575.49.1_segment0_np1212	SRR12664619.55471.1	s in q	23776	375	11743	12112	3	372	28
249	SRR12664575.49.1_segment0_np1212	SRR12664619.60516.1	s in q	23776	363	9719	10074	6	361	28
250	SRR12664575.5.1_segment0_np1212	SRR12664619.11928.1	s in q	49597	323	45243	45563	2	322	29
251	SRR12664575.5.1_segment0_np1212	SRR12664619.13162.1	s in q	49597	488	9073	9552	0	482	29
252	SRR12664575.5.1_segment0_np1212	SRR12664619.17526.1	s in q	49597	475	37571	38024	20	473	29
253	SRR12664575.5.1_segment0_np1212	SRR12664619.2376.1	s in q	49597	812	5573	6370	14	809	29
254	SRR12664575.5.1_segment0_np1212	SRR12664619.29900.1	s in q	49597	431	28129	28552	0	423	29
255	SRR12664575.5.1_segment0_np1212	SRR12664619.40545.1	s in q	49597	349	4891	5233	6	348	29
